Order_ID,Material_ID,Item_ID,Source,Destination,Available_Time,Deadline,Danger_Type,Area,Weight
A140000,ELEC-PCB-1409,P00-3ddd973b,City_1,City_106,2024-01-30 00:00:00,2024-02-10 00:00:00,type_1,29756,306787
A140001,ELEC-DISP-2679,P01-2d31daae,City_1,City_106,2023-11-24 00:00:00,2023-12-20 00:00:00,type_1,71982,985518
A140002,ELEC-PCB-7912,P02-0357e5f3,City_1,City_106,2022-02-02 00:00:00,2022-02-05 00:00:00,type_1,29157,148246
A140003,ELEC-DISP-9279,P03-f35a640a,City_1,City_106,2023-09-09 00:00:00,2023-09-12 00:00:00,type_1,26562,638508
A140004,ELEC-MODUL-4611,P04-f716dd4e,City_1,City_106,2023-04-05 00:00:00,2023-04-26 00:00:00,type_1,1351,341704
A140005,ELEC-DISP-7924,P05-79040281,City_1,City_106,2022-12-15 00:00:00,2022-12-26 00:00:00,type_1,28721,213032
A140006,ELEC-COMP-2674,P06-f36f52ad,City_1,City_106,2022-04-05 00:00:00,2022-04-20 00:00:00,type_1,47552,151414
A140007,ELEC-COMP-5333,P07-b38374e0,City_1,City_106,2024-04-06 00:00:00,2024-04-10 00:00:00,type_1,60717,815179
A140008,ELEC-PCB-7201,P08-c9b1d620,City_1,City_108,2022-03-22 00:00:00,2022-04-11 00:00:00,type_1,82897,357419
A140009,ELEC-COMP-4150,P09-cb38e92d,City_1,City_108,2023-12-23 00:00:00,2023-12-28 00:00:00,type_1,87173,98050
A140010,ELEC-DISP-5741,P10-223fe29a,City_1,City_108,2022-03-23 00:00:00,2022-04-22 00:00:00,type_1,13738,294098
A140011,ELEC-MODUL-5554,P11-82c14deb,City_1,City_108,2023-04-10 00:00:00,2023-05-03 00:00:00,type_1,48319,924628
A140012,ELEC-DISP-7065,P12-bffdb5e5,City_1,City_108,2022-12-30 00:00:00,2023-01-08 00:00:00,type_1,35493,752729
A140013,ELEC-PCB-3803,P13-f143f654,City_1,City_108,2023-07-01 00:00:00,2023-07-27 00:00:00,type_1,21917,306702
A140014,ELEC-MODUL-7216,P14-2e93cdf6,City_1,City_108,2022-10-04 00:00:00,2022-10-27 00:00:00,type_1,73500,771590
A140015,ELEC-COMP-1916,P15-7aac5ba3,City_1,City_11,2022-08-23 00:00:00,2022-09-21 00:00:00,type_1,41847,83659
A140016,ELEC-MODUL-5386,P16-19d54afc,City_1,City_11,2022-03-09 00:00:00,2022-03-18 00:00:00,type_1,94598,644731
A140017,ELEC-COMP-4483,P17-0e1012e9,City_1,City_11,2023-11-03 00:00:00,2023-11-21 00:00:00,type_1,84759,464850
A140018,ELEC-MODUL-3340,P18-b8339a6a,City_1,City_11,2022-09-29 00:00:00,2022-10-06 00:00:00,type_1,98147,308607
A140019,ELEC-COMP-8019,P19-90689ae6,City_1,City_118,2023-08-21 00:00:00,2023-09-05 00:00:00,type_1,29246,429580
A140020,ELEC-DISP-9348,P20-b4f45cc1,City_1,City_118,2023-05-21 00:00:00,2023-05-26 00:00:00,type_1,6675,842495
A140021,ELEC-PCB-3504,P21-2b832fd6,City_1,City_118,2023-10-05 00:00:00,2023-10-13 00:00:00,type_1,89692,880555
A140022,ELEC-MODUL-2040,P22-25cd53f5,City_1,City_118,2023-01-30 00:00:00,2023-02-14 00:00:00,type_1,61848,674834
A140023,ELEC-COMP-1188,P23-cd8e296d,City_1,City_118,2023-11-28 00:00:00,2023-12-24 00:00:00,type_1,89853,170116
A140024,ELEC-COMP-6573,P24-b5ce8ac5,City_1,City_118,2022-04-25 00:00:00,2022-05-07 00:00:00,type_1,21230,505884
A140025,ELEC-MODUL-1053,P25-09f6ea0f,City_1,City_118,2024-01-10 00:00:00,2024-02-05 00:00:00,type_1,66112,326183
A140026,ELEC-PCB-5889,P26-5388d6a3,City_1,City_122,2024-05-11 00:00:00,2024-06-03 00:00:00,type_1,80318,582323
A140027,ELEC-DISP-3504,P27-c6eb689d,City_1,City_122,2023-01-18 00:00:00,2023-02-14 00:00:00,type_1,71197,219396
A140028,ELEC-PCB-6310,P28-62714897,City_1,City_122,2023-05-16 00:00:00,2023-05-19 00:00:00,type_1,48076,167301
A140029,ELEC-COMP-4923,P29-8f244dbb,City_1,City_122,2022-03-01 00:00:00,2022-03-11 00:00:00,type_1,74864,970659
A140030,ELEC-PCB-8962,P30-a448e9ba,City_1,City_128,2024-04-15 00:00:00,2024-04-20 00:00:00,type_1,70322,847549
A140031,ELEC-DISP-3103,P31-1ecb55f0,City_1,City_128,2023-11-07 00:00:00,2023-11-25 00:00:00,type_1,22143,626510
A140032,ELEC-COMP-9645,P32-e3ad029d,City_1,City_128,2024-06-12 00:00:00,2024-07-04 00:00:00,type_1,28260,493692
A140033,ELEC-DISP-6107,P33-bcc87128,City_1,City_137,2023-02-13 00:00:00,2023-03-09 00:00:00,type_1,49444,731446
A140034,ELEC-MODUL-9479,P34-e100f715,City_1,City_137,2023-04-08 00:00:00,2023-04-14 00:00:00,type_1,29951,309947
A140035,ELEC-PCB-6539,P35-f5ab7c2c,City_1,City_137,2022-01-22 00:00:00,2022-02-12 00:00:00,type_1,30661,630828
A140036,ELEC-DISP-1117,P36-f0f8af09,City_1,City_137,2022-03-14 00:00:00,2022-04-08 00:00:00,type_1,8216,711759
A140037,ELEC-DISP-2104,P37-6a876d21,City_1,City_137,2022-02-02 00:00:00,2022-03-04 00:00:00,type_1,9787,396479
A140038,ELEC-DISP-5562,P38-f25bd782,City_1,City_137,2023-11-17 00:00:00,2023-12-05 00:00:00,type_1,71178,274643
A140039,ELEC-DISP-8744,P39-41cc4b46,City_1,City_137,2022-09-06 00:00:00,2022-10-04 00:00:00,type_1,53854,545948
A140040,ELEC-PCB-2588,P40-9eef35cf,City_1,City_138,2023-11-06 00:00:00,2023-11-22 00:00:00,type_1,56019,421507
A140041,ELEC-MODUL-8651,P41-a1f57db7,City_1,City_138,2024-06-03 00:00:00,2024-06-29 00:00:00,type_1,88759,106802
A140042,ELEC-PCB-1993,P42-24467090,City_1,City_138,2023-02-17 00:00:00,2023-03-15 00:00:00,type_1,14822,405784
A140043,ELEC-DISP-4139,P43-a37a4e6f,City_1,City_138,2022-07-14 00:00:00,2022-08-03 00:00:00,type_1,18873,520405
A140044,ELEC-DISP-5563,P44-acc517a5,City_1,City_141,2023-04-19 00:00:00,2023-04-29 00:00:00,type_1,10380,966964
A140045,ELEC-MODUL-2604,P45-b9875d7e,City_1,City_141,2022-02-21 00:00:00,2022-03-16 00:00:00,type_1,2434,616847
A140046,ELEC-PCB-4872,P46-ab8724bb,City_1,City_141,2022-06-20 00:00:00,2022-07-06 00:00:00,type_1,63592,559231
A140047,ELEC-DISP-7570,P47-78df0aeb,City_1,City_141,2022-03-02 00:00:00,2022-03-10 00:00:00,type_1,782,447382
A140048,ELEC-MODUL-5345,P48-8a0ca86a,City_1,City_141,2024-03-13 00:00:00,2024-04-10 00:00:00,type_1,37888,527110
A140049,ELEC-MODUL-8973,P49-513bc46e,City_1,City_141,2022-06-08 00:00:00,2022-06-17 00:00:00,type_1,29034,361120
A140050,ELEC-PCB-6138,P50-380e577d,City_1,City_142,2022-02-28 00:00:00,2022-03-04 00:00:00,type_1,62993,662554
A140051,ELEC-DISP-1931,P51-45cbf3a3,City_1,City_142,2023-06-05 00:00:00,2023-06-10 00:00:00,type_1,24856,942697
A140052,ELEC-PCB-2113,P52-837d256a,City_1,City_142,2023-11-23 00:00:00,2023-12-23 00:00:00,type_1,53423,296629
A140053,ELEC-DISP-1651,P53-cf9798ea,City_1,City_143,2023-09-27 00:00:00,2023-10-02 00:00:00,type_1,86663,489589
A140054,ELEC-COMP-5272,P54-23793f29,City_1,City_143,2022-07-29 00:00:00,2022-08-22 00:00:00,type_1,41680,800981
A140055,ELEC-DISP-5351,P55-ffc44e8e,City_1,City_143,2023-02-10 00:00:00,2023-02-17 00:00:00,type_1,85107,754318
A140056,ELEC-MODUL-6180,P56-5b33c34c,City_1,City_150,2024-02-09 00:00:00,2024-02-14 00:00:00,type_1,60568,59767
A140057,ELEC-PCB-2200,P57-50b2c841,City_1,City_150,2023-07-05 00:00:00,2023-07-14 00:00:00,type_1,35260,580458
